,affairs,affair_status,gender,age,yearsmarried,children,religiousness,education,occupation,rating
118,0,No,female,22.0,0.75,no,4,16,1,5
119,0,No,female,27.0,7.0,yes,4,12,2,4
120,0,No,female,27.0,7.0,yes,2,16,2,5
121,0,No,female,42.0,15.0,yes,5,18,5,4
122,0,No,male,42.0,15.0,yes,4,17,5,3
123,0,No,female,27.0,7.0,yes,2,16,1,2
124,0,No,female,22.0,1.5,no,3,16,5,5
125,0,No,male,37.0,15.0,yes,5,20,6,5
126,0,No,female,22.0,0.125,no,2,14,4,5
127,0,No,male,27.0,1.5,no,4,16,5,5
128,0,No,male,32.0,1.5,no,2,18,6,5
129,0,No,male,27.0,1.5,no,2,17,6,5
130,0,No,female,27.0,10.0,yes,4,16,1,3
131,0,No,male,42.0,15.0,yes,4,18,6,5
132,0,No,female,27.0,1.5,no,2,16,6,5
133,0,No,male,27.0,4.0,no,2,18,6,3
134,0,No,female,32.0,10.0,yes,3,14,5,3
135,0,No,female,32.0,15.0,yes,3,18,5,4
136,0,No,female,22.0,0.75,no,2,18,6,5
137,0,No,female,37.0,15.0,yes,2,16,1,4
138,0,No,male,27.0,4.0,yes,4,20,5,5
139,0,No,male,27.0,4.0,no,1,20,5,4
140,0,No,female,27.0,10.0,yes,2,12,1,4
141,0,No,female,32.0,15.0,yes,5,18,6,4
142,0,No,male,27.0,7.0,yes,5,12,5,3
143,0,No,male,52.0,15.0,yes,2,18,5,4
144,0,No,male,27.0,4.0,no,3,20,6,3
145,0,No,male,37.0,4.0,yes,1,18,5,4
146,0,No,male,27.0,4.0,yes,4,14,5,4
147,0,No,female,52.0,15.0,yes,5,12,1,3
148,0,No,female,57.0,15.0,yes,4,16,6,4
149,0,No,male,27.0,7.0,yes,1,16,5,4
150,0,No,male,37.0,7.0,yes,4,20,6,3
151,0,No,male,22.0,0.75,no,2,14,4,3
152,0,No,male,32.0,4.0,yes,2,18,5,3
153,0,No,male,37.0,15.0,yes,4,20,6,3
154,0,No,male,22.0,0.75,yes,2,14,4,3
155,0,No,male,42.0,15.0,yes,4,20,6,3
156,0,No,female,52.0,15.0,yes,5,17,1,1
157,0,No,female,37.0,15.0,yes,4,14,1,2
158,0,No,male,27.0,7.0,yes,4,14,5,3
159,0,No,male,32.0,4.0,yes,2,16,5,5
160,0,No,female,27.0,4.0,yes,2,18,6,5
161,0,No,female,27.0,4.0,yes,2,18,5,5
162,0,No,male,37.0,15.0,yes,5,18,6,5
163,0,No,female,47.0,15.0,yes,5,12,5,4
164,0,No,female,32.0,10.0,yes,3,17,1,4
165,0,No,female,27.0,1.5,yes,4,17,1,2
166,0,No,female,57.0,15.0,yes,2,18,5,2
167,0,No,female,22.0,1.5,no,4,14,5,4
168,0,No,male,42.0,15.0,yes,3,14,3,4
169,0,No,male,57.0,15.0,yes,4,9,2,2
170,0,No,male,57.0,15.0,yes,4,20,6,5
171,0,No,female,22.0,0.125,no,4,14,4,5
172,0,No,female,32.0,10.0,yes,4,14,1,5
173,0,No,female,42.0,15.0,yes,3,18,5,4
174,0,No,female,27.0,1.5,no,2,18,6,5
175,0,No,male,32.0,0.125,yes,2,18,5,2
176,0,No,female,27.0,4.0,no,3,16,5,4
177,0,No,female,27.0,10.0,yes,2,16,1,4
178,0,No,female,32.0,7.0,yes,4,16,1,3
179,0,No,female,37.0,15.0,yes,4,14,5,4
180,0,No,female,42.0,15.0,yes,5,17,6,2
181,0,No,male,32.0,1.5,yes,4,14,6,5
182,0,No,female,32.0,4.0,yes,3,17,5,3
183,0,No,female,37.0,7.0,no,4,18,5,5
184,0,No,female,22.0,0.417,yes,3,14,3,5
185,0,No,female,27.0,7.0,yes,4,14,1,5
186,0,No,male,27.0,0.75,no,3,16,5,5
187,0,No,male,27.0,4.0,yes,2,20,5,5
188,0,No,male,32.0,10.0,yes,4,16,4,5
189,0,No,male,32.0,15.0,yes,1,14,5,5
190,0,No,male,22.0,0.75,no,3,17,4,5
191,0,No,female,27.0,7.0,yes,4,17,1,4
192,0,No,male,27.0,0.417,yes,4,20,5,4
193,0,No,male,37.0,15.0,yes,4,20,5,4
194,0,No,female,37.0,15.0,yes,2,14,1,3
195,0,No,male,22.0,4.0,yes,1,18,5,4
196,0,No,male,37.0,15.0,yes,4,17,5,3
197,0,No,female,22.0,1.5,no,2,14,4,5
198,0,No,male,52.0,15.0,yes,4,14,6,2
199,0,No,female,22.0,1.5,no,4,17,5,5
200,0,No,male,32.0,4.0,yes,5,14,3,5
201,0,No,male,32.0,4.0,yes,2,14,3,5
202,0,No,female,22.0,1.5,no,3,16,6,5
203,0,No,male,27.0,0.75,no,2,18,3,3
204,0,No,female,22.0,7.0,yes,2,14,5,2
205,0,No,female,27.0,0.75,no,2,17,5,3
206,0,No,female,37.0,15.0,yes,4,12,1,2
207,0,No,female,22.0,1.5,no,1,14,1,5
208,0,No,female,37.0,10.0,no,2,12,4,4
209,0,No,female,37.0,15.0,yes,4,18,5,3
210,0,No,female,42.0,15.0,yes,3,12,3,3
211,0,No,male,22.0,4.0,no,2,18,5,5
212,0,No,male,52.0,7.0,yes,2,20,6,2
213,0,No,male,27.0,0.75,no,2,17,5,5
214,0,No,female,27.0,4.0,no,2,17,4,5
215,0,No,male,42.0,1.5,no,5,20,6,5
216,0,No,male,22.0,1.5,no,4,17,6,5
217,0,No,male,22.0,4.0,no,4,17,5,3
218,0,No,female,22.0,4.0,yes,1,14,5,4
219,0,No,male,37.0,15.0,yes,5,20,4,5
220,0,No,female,37.0,10.0,yes,3,16,6,3
221,0,No,male,42.0,15.0,yes,4,17,6,5
222,0,No,female,47.0,15.0,yes,4,17,5,5
223,0,No,male,22.0,1.5,no,4,16,5,4
224,0,No,female,32.0,10.0,yes,3,12,1,4
225,0,No,female,22.0,7.0,yes,1,14,3,5
226,0,No,female,32.0,10.0,yes,4,17,5,4
227,0,No,male,27.0,1.5,yes,2,16,2,4
228,0,No,male,37.0,15.0,yes,4,14,5,5
229,0,No,male,42.0,4.0,yes,3,14,4,5
230,0,No,female,37.0,15.0,yes,5,14,5,4
231,0,No,female,32.0,7.0,yes,4,17,5,5
232,0,No,female,42.0,15.0,yes,4,18,6,5
233,0,No,male,27.0,4.0,no,4,18,6,4
234,0,No,male,22.0,0.75,no,4,18,6,5
235,0,No,male,27.0,4.0,yes,4,14,5,3
236,0,No,female,22.0,0.75,no,5,18,1,5
237,0,No,female,52.0,15.0,yes,5,9,5,5
238,0,No,male,32.0,10.0,yes,3,14,5,5
239,0,No,female,37.0,15.0,yes,4,16,4,4
240,0,No,male,32.0,7.0,yes,2,20,5,4
241,0,No,female,42.0,15.0,yes,3,18,1,4
242,0,No,male,32.0,15.0,yes,1,16,5,5
243,0,No,male,27.0,4.0,yes,3,18,5,5
244,0,No,female,32.0,15.0,yes,4,12,3,4
245,0,No,male,22.0,0.75,yes,3,14,2,4
246,0,No,female,22.0,1.5,no,3,16,5,3
247,0,No,female,42.0,15.0,yes,4,14,3,5
248,0,No,female,52.0,15.0,yes,3,16,5,4
249,0,No,male,37.0,15.0,yes,5,20,6,4
250,0,No,female,47.0,15.0,yes,4,12,2,3
251,0,No,male,57.0,15.0,yes,2,20,6,4
252,0,No,male,32.0,7.0,yes,4,17,5,5
253,0,No,female,27.0,7.0,yes,4,17,1,4
254,0,No,male,22.0,1.5,no,1,18,6,5
255,0,No,female,22.0,4.0,yes,3,9,1,4
256,0,No,female,22.0,1.5,no,2,14,1,5
257,0,No,male,42.0,15.0,yes,2,20,6,4
258,0,No,male,57.0,15.0,yes,4,9,2,4
259,0,No,female,27.0,7.0,yes,2,18,1,5
260,0,No,female,22.0,4.0,yes,3,14,1,5
261,0,No,male,37.0,15.0,yes,4,14,5,3
262,0,No,male,32.0,7.0,yes,1,18,6,4
263,0,No,female,22.0,1.5,no,2,14,5,5
264,0,No,female,22.0,1.5,yes,3,12,1,3
265,0,No,male,52.0,15.0,yes,2,14,5,5
266,0,No,female,37.0,15.0,yes,2,14,1,1
267,0,No,female,32.0,10.0,yes,2,14,5,5
268,0,No,male,42.0,15.0,yes,4,20,4,5
269,0,No,female,27.0,4.0,yes,3,18,4,5
270,0,No,male,37.0,15.0,yes,4,20,6,5
271,0,No,male,27.0,1.5,no,3,18,5,5
272,0,No,female,22.0,0.125,no,2,16,6,3
273,0,No,male,32.0,10.0,yes,2,20,6,3
274,0,No,female,27.0,4.0,no,4,18,5,4
275,0,No,female,27.0,7.0,yes,2,12,5,1
276,0,No,male,32.0,4.0,yes,5,18,6,3
277,0,No,female,37.0,15.0,yes,2,17,5,5
278,0,No,male,47.0,15.0,no,4,20,6,4
279,0,No,male,27.0,1.5,no,1,18,5,5
280,0,No,male,37.0,15.0,yes,4,20,6,4
281,0,No,female,32.0,15.0,yes,4,18,1,4
282,0,No,female,32.0,7.0,yes,4,17,5,4
283,0,No,female,42.0,15.0,yes,3,14,1,3
284,0,No,female,27.0,7.0,yes,3,16,1,4
285,0,No,male,27.0,1.5,no,3,16,4,2
286,0,No,male,22.0,1.5,no,3,16,3,5
287,0,No,male,27.0,4.0,yes,3,16,4,2
288,0,No,female,27.0,7.0,yes,3,12,1,2
289,0,No,female,37.0,15.0,yes,2,18,5,4
290,0,No,female,37.0,7.0,yes,3,14,4,4
291,0,No,male,22.0,1.5,no,2,16,5,5
292,0,No,male,37.0,15.0,yes,5,20,5,4
293,0,No,female,22.0,1.5,no,4,16,5,3
294,0,No,female,32.0,10.0,yes,4,16,1,5
295,0,No,male,27.0,4.0,no,2,17,5,3
296,0,No,female,22.0,0.417,no,4,14,5,5
297,0,No,female,27.0,4.0,no,2,18,5,5
298,0,No,male,37.0,15.0,yes,4,18,5,3
299,0,No,male,37.0,10.0,yes,5,20,7,4
300,0,No,female,27.0,7.0,yes,2,14,4,2
301,0,No,male,32.0,4.0,yes,2,16,5,5
302,0,No,male,32.0,4.0,yes,2,16,6,4
303,0,No,male,22.0,1.5,no,3,18,4,5
304,0,No,female,22.0,4.0,yes,4,14,3,4
305,0,No,female,17.5,0.75,no,2,18,5,4
306,0,No,male,32.0,10.0,yes,4,20,4,5
307,0,No,female,32.0,0.75,no,5,14,3,3
308,0,No,male,37.0,15.0,yes,4,17,5,3
309,0,No,male,32.0,4.0,no,3,14,4,5
310,0,No,female,27.0,1.5,no,2,17,3,2
311,0,No,female,22.0,7.0,yes,4,14,1,5
312,0,No,male,47.0,15.0,yes,5,14,6,5
313,0,No,male,27.0,4.0,yes,1,16,4,4
314,0,No,female,37.0,15.0,yes,5,14,1,3
315,0,No,male,42.0,4.0,yes,4,18,5,5
316,0,No,female,32.0,4.0,yes,2,14,1,5
317,0,No,male,52.0,15.0,yes,2,14,7,4
318,0,No,female,22.0,1.5,no,2,16,1,4
319,0,No,male,52.0,15.0,yes,4,12,2,4
320,0,No,female,22.0,0.417,no,3,17,1,5
321,0,No,female,22.0,1.5,no,2,16,5,5
322,0,No,male,27.0,4.0,yes,4,20,6,4
323,0,No,female,32.0,15.0,yes,4,14,1,5
324,0,No,female,27.0,1.5,no,2,16,3,5
325,0,No,male,32.0,4.0,no,1,20,6,5
326,0,No,male,37.0,15.0,yes,3,20,6,4
327,0,No,female,32.0,10.0,no,2,16,6,5
328,0,No,female,32.0,10.0,yes,5,14,5,5
329,0,No,male,37.0,1.5,yes,4,18,5,3
330,0,No,male,32.0,1.5,no,2,18,4,4
331,0,No,female,32.0,10.0,yes,4,14,1,4
332,0,No,female,47.0,15.0,yes,4,18,5,4
333,0,No,female,27.0,10.0,yes,5,12,1,5
334,0,No,male,27.0,4.0,yes,3,16,4,5
335,0,No,female,37.0,15.0,yes,4,12,4,2
336,0,No,female,27.0,0.75,no,4,16,5,5
337,0,No,female,37.0,15.0,yes,4,16,1,5
338,0,No,female,32.0,15.0,yes,3,16,1,5
339,0,No,female,27.0,10.0,yes,2,16,1,5
340,0,No,male,27.0,7.0,no,2,20,6,5
341,0,No,female,37.0,15.0,yes,2,14,1,3
342,0,No,male,27.0,1.5,yes,2,17,4,4
343,0,No,female,22.0,0.75,yes,2,14,1,5
344,0,No,male,22.0,4.0,yes,4,14,2,4
345,0,No,male,42.0,0.125,no,4,17,6,4
346,0,No,male,27.0,1.5,yes,4,18,6,5
347,0,No,male,27.0,7.0,yes,3,16,6,3
348,0,No,female,52.0,15.0,yes,4,14,1,3
349,0,No,male,27.0,1.5,no,5,20,5,2
350,0,No,female,27.0,1.5,no,2,16,5,5
351,0,No,female,27.0,1.5,no,3,17,5,5
352,0,No,male,22.0,0.125,no,5,16,4,4
353,0,No,female,27.0,4.0,yes,4,16,1,5
354,0,No,female,27.0,4.0,yes,4,12,1,5
355,0,No,female,47.0,15.0,yes,2,14,5,5
356,0,No,female,32.0,15.0,yes,3,14,5,3
357,0,No,male,42.0,7.0,yes,2,16,5,5
358,0,No,male,22.0,0.75,no,4,16,6,4
359,0,No,male,27.0,0.125,no,3,20,6,5
360,0,No,male,32.0,10.0,yes,3,20,6,5
361,0,No,female,22.0,0.417,no,5,14,4,5
362,0,No,female,47.0,15.0,yes,5,14,1,4
363,0,No,female,32.0,10.0,yes,3,14,1,5
364,0,No,male,57.0,15.0,yes,4,17,5,5
365,0,No,male,27.0,4.0,yes,3,20,6,5
366,0,No,female,32.0,7.0,yes,4,17,1,5
367,0,No,female,37.0,10.0,yes,4,16,1,5
368,0,No,female,32.0,10.0,yes,1,18,1,4
369,0,No,female,22.0,4.0,no,3,14,1,4
370,0,No,female,27.0,7.0,yes,4,14,3,2
371,0,No,male,57.0,15.0,yes,5,18,5,2
372,0,No,male,32.0,7.0,yes,2,18,5,5
373,0,No,female,27.0,1.5,no,4,17,1,3
374,0,No,male,22.0,1.5,no,4,14,5,5
375,0,No,female,22.0,1.5,yes,4,14,5,4
376,0,No,female,32.0,7.0,yes,3,16,1,5
377,0,No,female,47.0,15.0,yes,3,16,5,4
378,0,No,female,22.0,0.75,no,3,16,1,5
379,0,No,female,22.0,1.5,yes,2,14,5,5
380,0,No,female,27.0,4.0,yes,1,16,5,5
381,0,No,male,52.0,15.0,yes,4,16,5,5
382,0,No,male,32.0,10.0,yes,4,20,6,5
383,0,No,male,47.0,15.0,yes,4,16,6,4
384,0,No,female,27.0,7.0,yes,2,14,1,2
385,0,No,female,22.0,1.5,no,4,14,4,5
386,0,No,female,32.0,10.0,yes,2,16,5,4
387,0,No,female,22.0,0.75,no,2,16,5,4
388,0,No,female,22.0,1.5,no,2,16,5,5
389,0,No,female,42.0,15.0,yes,3,18,6,4
390,0,No,female,27.0,7.0,yes,5,14,4,5
391,0,No,male,42.0,15.0,yes,4,16,4,4
392,0,No,female,57.0,15.0,yes,3,18,5,2
393,0,No,male,42.0,15.0,yes,3,18,6,2
394,0,No,female,32.0,7.0,yes,2,14,1,2
395,0,No,male,22.0,4.0,no,5,12,4,5
396,0,No,female,22.0,1.5,no,1,16,6,5
397,0,No,female,22.0,0.75,no,1,14,4,5
398,0,No,female,32.0,15.0,yes,4,12,1,5
399,0,No,male,22.0,1.5,no,2,18,5,3
400,0,No,male,27.0,4.0,yes,5,17,2,5
401,0,No,female,27.0,4.0,yes,4,12,1,5
402,0,No,male,42.0,15.0,yes,5,18,5,4
403,0,No,male,32.0,1.5,no,2,20,7,3
404,0,No,male,57.0,15.0,no,4,9,3,1
405,0,No,male,37.0,7.0,no,4,18,5,5
406,0,No,male,52.0,15.0,yes,2,17,5,4
407,0,No,male,47.0,15.0,yes,4,17,6,5
408,0,No,female,27.0,7.0,no,2,17,5,4
409,0,No,female,27.0,7.0,yes,4,14,5,5
410,0,No,female,22.0,4.0,no,2,14,3,3
411,0,No,male,37.0,7.0,yes,2,20,6,5
412,0,No,male,27.0,7.0,no,4,12,4,3
413,0,No,male,42.0,10.0,yes,4,18,6,4
414,0,No,female,22.0,1.5,no,3,14,1,5
415,0,No,female,22.0,4.0,yes,2,14,1,3
416,0,No,female,57.0,15.0,no,4,20,6,5
417,0,No,male,37.0,15.0,yes,4,14,4,3
418,0,No,female,27.0,7.0,yes,3,18,5,5
419,0,No,female,17.5,10.0,no,4,14,4,5
420,0,No,male,22.0,4.0,yes,4,16,5,5
421,0,No,female,27.0,4.0,yes,2,16,1,4
422,0,No,female,37.0,15.0,yes,2,14,5,1
423,0,No,female,22.0,1.5,no,5,14,1,4
424,0,No,male,27.0,7.0,yes,2,20,5,4
425,0,No,male,27.0,4.0,yes,4,14,5,5
426,0,No,male,22.0,0.125,no,1,16,3,5
427,0,No,female,27.0,7.0,yes,4,14,1,4
428,0,No,female,32.0,15.0,yes,5,16,5,3
429,0,No,male,32.0,10.0,yes,4,18,5,4
430,0,No,female,32.0,15.0,yes,2,14,3,4
431,0,No,female,22.0,1.5,no,3,17,5,5
432,0,No,male,27.0,4.0,yes,4,17,4,4
433,0,No,female,52.0,15.0,yes,5,14,1,5
434,0,No,female,27.0,7.0,yes,2,12,1,2
435,0,No,female,27.0,7.0,yes,3,12,1,4
436,0,No,female,42.0,15.0,yes,2,14,1,4
437,0,No,female,42.0,15.0,yes,4,14,5,4
438,0,No,male,27.0,7.0,yes,4,14,3,3
439,0,No,male,27.0,7.0,yes,2,20,6,2
440,0,No,female,42.0,15.0,yes,3,12,3,3
441,0,No,male,27.0,4.0,yes,3,16,3,5
442,0,No,female,27.0,7.0,yes,3,14,1,4
443,0,No,female,22.0,1.5,no,2,14,4,5
444,0,No,female,27.0,4.0,yes,4,14,1,4
445,0,No,female,22.0,4.0,no,4,14,5,5
446,0,No,female,22.0,1.5,no,2,16,4,5
447,0,No,male,47.0,15.0,no,4,14,5,4
448,0,No,male,37.0,10.0,yes,2,18,6,2
449,0,No,male,37.0,15.0,yes,3,17,5,4
450,0,No,female,27.0,4.0,yes,2,16,1,4
451,3,Yes,male,27.0,1.5,no,3,18,4,4
452,3,Yes,female,27.0,4.0,yes,3,17,1,5
453,7,Yes,male,37.0,15.0,yes,5,18,6,2
454,12,Yes,female,32.0,10.0,yes,3,17,5,2
455,1,Yes,male,22.0,0.125,no,4,16,5,5
456,1,Yes,female,22.0,1.5,yes,2,14,1,5
457,12,Yes,male,37.0,15.0,yes,4,14,5,2
458,7,Yes,female,22.0,1.5,no,2,14,3,4
459,2,Yes,male,37.0,15.0,yes,2,18,6,4
460,3,Yes,female,32.0,15.0,yes,4,12,3,2
461,1,Yes,female,37.0,15.0,yes,4,14,4,2
462,7,Yes,female,42.0,15.0,yes,3,17,1,4
463,12,Yes,female,42.0,15.0,yes,5,9,4,1
464,12,Yes,male,37.0,10.0,yes,2,20,6,2
465,12,Yes,female,32.0,15.0,yes,3,14,1,2
466,3,Yes,male,27.0,4.0,no,1,18,6,5
467,7,Yes,male,37.0,10.0,yes,2,18,7,3
468,7,Yes,female,27.0,4.0,no,3,17,5,5
469,1,Yes,male,42.0,15.0,yes,4,16,5,5
470,1,Yes,female,47.0,15.0,yes,5,14,4,5
471,7,Yes,female,27.0,4.0,yes,3,18,5,4
472,1,Yes,female,27.0,7.0,yes,5,14,1,4
473,12,Yes,male,27.0,1.5,yes,3,17,5,4
474,12,Yes,female,27.0,7.0,yes,4,14,6,2
475,3,Yes,female,42.0,15.0,yes,4,16,5,4
476,7,Yes,female,27.0,10.0,yes,4,12,7,3
477,1,Yes,male,27.0,1.5,no,2,18,5,2
478,1,Yes,male,32.0,4.0,no,4,20,6,4
479,1,Yes,female,27.0,7.0,yes,3,14,1,3
480,3,Yes,female,32.0,10.0,yes,4,14,1,4
481,3,Yes,male,27.0,4.0,yes,2,18,7,2
482,1,Yes,female,17.5,0.75,no,5,14,4,5
483,1,Yes,female,32.0,10.0,yes,4,18,1,5
484,7,Yes,female,32.0,7.0,yes,2,17,6,4
485,7,Yes,male,37.0,15.0,yes,2,20,6,4
486,7,Yes,female,37.0,10.0,no,1,20,5,3
487,12,Yes,female,32.0,10.0,yes,2,16,5,5
488,7,Yes,male,52.0,15.0,yes,2,20,6,4
489,7,Yes,female,42.0,15.0,yes,1,12,1,3
490,1,Yes,male,52.0,15.0,yes,2,20,6,3
491,2,Yes,male,37.0,15.0,yes,3,18,6,5
492,12,Yes,female,22.0,4.0,no,3,12,3,4
493,12,Yes,male,27.0,7.0,yes,1,18,6,2
494,1,Yes,male,27.0,4.0,yes,3,18,5,5
495,12,Yes,male,47.0,15.0,yes,4,17,6,5
496,12,Yes,female,42.0,15.0,yes,4,12,1,1
497,7,Yes,male,27.0,4.0,no,3,14,3,4
498,7,Yes,female,32.0,7.0,yes,4,18,4,5
499,1,Yes,male,32.0,0.417,yes,3,12,3,4
500,3,Yes,male,47.0,15.0,yes,5,16,5,4
501,12,Yes,male,37.0,15.0,yes,2,20,5,4
502,7,Yes,male,22.0,4.0,yes,2,17,6,4
503,1,Yes,male,27.0,4.0,no,2,14,4,5
504,7,Yes,female,52.0,15.0,yes,5,16,1,3
505,1,Yes,male,27.0,4.0,no,3,14,3,3
506,1,Yes,female,27.0,10.0,yes,4,16,1,4
507,1,Yes,male,32.0,7.0,yes,3,14,7,4
508,7,Yes,male,32.0,7.0,yes,2,18,4,1
509,3,Yes,male,22.0,1.5,no,1,14,3,2
510,7,Yes,male,22.0,4.0,yes,3,18,6,4
511,7,Yes,male,42.0,15.0,yes,4,20,6,4
512,2,Yes,female,57.0,15.0,yes,1,18,5,4
513,7,Yes,female,32.0,4.0,yes,3,18,5,2
514,1,Yes,male,27.0,4.0,yes,1,16,4,4
515,7,Yes,male,32.0,7.0,yes,4,16,1,4
