,affairs,affair_status,gender,age,yearsmarried,children,religiousness,education,occupation,rating,,"Questions - in each case write your interpretation. Affair value >0 = affair, otherwise no affair"
747,0,No,male,42,15,yes,4,20,6,3,,
751,0,No,female,52,15,yes,5,17,1,1,,
752,0,No,female,37,15,yes,4,14,1,2,,
754,0,No,male,27,7,yes,4,14,5,3,,
760,0,No,male,32,4,yes,2,16,5,5,,
763,0,No,female,27,4,yes,2,18,6,5,,
774,0,No,female,27,4,yes,2,18,5,5,,
776,0,No,male,37,15,yes,5,18,6,5,,
779,0,No,female,47,15,yes,5,12,5,4,,
784,0,No,female,32,10,yes,3,17,1,4,,
788,0,No,female,27,1.5,yes,4,17,1,2,,
794,0,No,female,57,15,yes,2,18,5,2,,
795,0,No,female,22,1.5,no,4,14,5,4,,
798,0,No,male,42,15,yes,3,14,3,4,,
800,0,No,male,57,15,yes,4,9,2,2,,
803,0,No,male,57,15,yes,4,20,6,5,,
807,0,No,female,22,0.125,no,4,14,4,5,,
812,0,No,female,32,10,yes,4,14,1,5,,
820,0,No,female,42,15,yes,3,18,5,4,,
823,0,No,female,27,1.5,no,2,18,6,5,,
830,0,No,male,32,0.125,yes,2,18,5,2,,
843,0,No,female,27,4,no,3,16,5,4,,
848,0,No,female,27,10,yes,2,16,1,4,,
851,0,No,female,32,7,yes,4,16,1,3,,
854,0,No,female,37,15,yes,4,14,5,4,,
856,0,No,female,42,15,yes,5,17,6,2,,
857,0,No,male,32,1.5,yes,4,14,6,5,,
859,0,No,female,32,4,yes,3,17,5,3,,
863,0,No,female,37,7,no,4,18,5,5,,
865,0,No,female,22,0.417,yes,3,14,3,5,,
867,0,No,female,27,7,yes,4,14,1,5,,
870,0,No,male,27,0.75,no,3,16,5,5,,
873,0,No,male,27,4,yes,2,20,5,5,,
875,0,No,male,32,10,yes,4,16,4,5,,
876,0,No,male,32,15,yes,1,14,5,5,,
877,0,No,male,22,0.75,no,3,17,4,5,,
880,0,No,female,27,7,yes,4,17,1,4,,
903,0,No,male,27,0.417,yes,4,20,5,4,,
904,0,No,male,37,15,yes,4,20,5,4,,
905,0,No,female,37,15,yes,2,14,1,3,,
908,0,No,male,22,4,yes,1,18,5,4,,
909,0,No,male,37,15,yes,4,17,5,3,,
910,0,No,female,22,1.5,no,2,14,4,5,,
912,0,No,male,52,15,yes,4,14,6,2,,
914,0,No,female,22,1.5,no,4,17,5,5,,
915,0,No,male,32,4,yes,5,14,3,5,,
916,0,No,male,32,4,yes,2,14,3,5,,
920,0,No,female,22,1.5,no,3,16,6,5,,
921,0,No,male,27,0.75,no,2,18,3,3,,
925,0,No,female,22,7,yes,2,14,5,2,,
926,0,No,female,27,0.75,no,2,17,5,3,,
929,0,No,female,37,15,yes,4,12,1,2,,
931,0,No,female,22,1.5,no,1,14,1,5,,
945,0,No,female,37,10,no,2,12,4,4,,
947,0,No,female,37,15,yes,4,18,5,3,,
949,0,No,female,42,15,yes,3,12,3,3,,
950,0,No,male,22,4,no,2,18,5,5,,
961,0,No,male,52,7,yes,2,20,6,2,,
965,0,No,male,27,0.75,no,2,17,5,5,,
966,0,No,female,27,4,no,2,17,4,5,,
967,0,No,male,42,1.5,no,5,20,6,5,,
987,0,No,male,22,1.5,no,4,17,6,5,,
990,0,No,male,22,4,no,4,17,5,3,,
992,0,No,female,22,4,yes,1,14,5,4,,
995,0,No,male,37,15,yes,5,20,4,5,,
1009,0,No,female,37,10,yes,3,16,6,3,,
1021,0,No,male,42,15,yes,4,17,6,5,,
1026,0,No,female,47,15,yes,4,17,5,5,,
1027,0,No,male,22,1.5,no,4,16,5,4,,
1030,0,No,female,32,10,yes,3,12,1,4,,
1031,0,No,female,22,7,yes,1,14,3,5,,
1034,0,No,female,32,10,yes,4,17,5,4,,
1037,0,No,male,27,1.5,yes,2,16,2,4,,
1038,0,No,male,37,15,yes,4,14,5,5,,
1039,0,No,male,42,4,yes,3,14,4,5,,
1045,0,No,female,37,15,yes,5,14,5,4,,
1046,0,No,female,32,7,yes,4,17,5,5,,
1054,0,No,female,42,15,yes,4,18,6,5,,
1059,0,No,male,27,4,no,4,18,6,4,,
1063,0,No,male,22,0.75,no,4,18,6,5,,
1068,0,No,male,27,4,yes,4,14,5,3,,
1070,0,No,female,22,0.75,no,5,18,1,5,,
1072,0,No,female,52,15,yes,5,9,5,5,,
1073,0,No,male,32,10,yes,3,14,5,5,,
1077,0,No,female,37,15,yes,4,16,4,4,,
1081,0,No,male,32,7,yes,2,20,5,4,,
1083,0,No,female,42,15,yes,3,18,1,4,,
1084,0,No,male,32,15,yes,1,16,5,5,,
1086,0,No,male,27,4,yes,3,18,5,5,,
1087,0,No,female,32,15,yes,4,12,3,4,,
1089,0,No,male,22,0.75,yes,3,14,2,4,,
1096,0,No,female,22,1.5,no,3,16,5,3,,
1102,0,No,female,42,15,yes,4,14,3,5,,
1103,0,No,female,52,15,yes,3,16,5,4,,
1107,0,No,male,37,15,yes,5,20,6,4,,
1109,0,No,female,47,15,yes,4,12,2,3,,
1115,0,No,male,57,15,yes,2,20,6,4,,
1119,0,No,male,32,7,yes,4,17,5,5,,
1124,0,No,female,27,7,yes,4,17,1,4,,
1126,0,No,male,22,1.5,no,1,18,6,5,,
1128,0,No,female,22,4,yes,3,9,1,4,,
1129,0,No,female,22,1.5,no,2,14,1,5,,
1130,0,No,male,42,15,yes,2,20,6,4,,
1133,0,No,male,57,15,yes,4,9,2,4,,
1140,0,No,female,27,7,yes,2,18,1,5,,
1143,0,No,female,22,4,yes,3,14,1,5,,
1146,0,No,male,37,15,yes,4,14,5,3,,
1153,0,No,male,32,7,yes,1,18,6,4,,
1156,0,No,female,22,1.5,no,2,14,5,5,,
1157,0,No,female,22,1.5,yes,3,12,1,3,,
1158,0,No,male,52,15,yes,2,14,5,5,,
1160,0,No,female,37,15,yes,2,14,1,1,,
1161,0,No,female,32,10,yes,2,14,5,5,,
1166,0,No,male,42,15,yes,4,20,4,5,,
1177,0,No,female,27,4,yes,3,18,4,5,,
1178,0,No,male,37,15,yes,4,20,6,5,,
1180,0,No,male,27,1.5,no,3,18,5,5,,
1187,0,No,female,22,0.125,no,2,16,6,3,,
1191,0,No,male,32,10,yes,2,20,6,3,,
1195,0,No,female,27,4,no,4,18,5,4,,
1207,0,No,female,27,7,yes,2,12,5,1,,
1208,0,No,male,32,4,yes,5,18,6,3,,
1209,0,No,female,37,15,yes,2,17,5,5,,
1211,0,No,male,47,15,no,4,20,6,4,,
1215,0,No,male,27,1.5,no,1,18,5,5,,
1221,0,No,male,37,15,yes,4,20,6,4,,
1226,0,No,female,32,15,yes,4,18,1,4,,
1229,0,No,female,32,7,yes,4,17,5,4,,
1231,0,No,female,42,15,yes,3,14,1,3,,
1234,0,No,female,27,7,yes,3,16,1,4,,
1235,0,No,male,27,1.5,no,3,16,4,2,,
1242,0,No,male,22,1.5,no,3,16,3,5,,
1245,0,No,male,27,4,yes,3,16,4,2,,
1260,0,No,female,27,7,yes,3,12,1,2,,
1266,0,No,female,37,15,yes,2,18,5,4,,
1271,0,No,female,37,7,yes,3,14,4,4,,
1273,0,No,male,22,1.5,no,2,16,5,5,,
1276,0,No,male,37,15,yes,5,20,5,4,,
1280,0,No,female,22,1.5,no,4,16,5,3,,
1282,0,No,female,32,10,yes,4,16,1,5,,
1285,0,No,male,27,4,no,2,17,5,3,,
1295,0,No,female,22,0.417,no,4,14,5,5,,
1298,0,No,female,27,4,no,2,18,5,5,,
1299,0,No,male,37,15,yes,4,18,5,3,,
1304,0,No,male,37,10,yes,5,20,7,4,,
1305,0,No,female,27,7,yes,2,14,4,2,,
1311,0,No,male,32,4,yes,2,16,5,5,,
1314,0,No,male,32,4,yes,2,16,6,4,,
1319,0,No,male,22,1.5,no,3,18,4,5,,
1322,0,No,female,22,4,yes,4,14,3,4,,
1324,0,No,female,17.5,0.75,no,2,18,5,4,,
1327,0,No,male,32,10,yes,4,20,4,5,,
1328,0,No,female,32,0.75,no,5,14,3,3,,
1330,0,No,male,37,15,yes,4,17,5,3,,
1332,0,No,male,32,4,no,3,14,4,5,,
1333,0,No,female,27,1.5,no,2,17,3,2,,
1336,0,No,female,22,7,yes,4,14,1,5,,
1341,0,No,male,47,15,yes,5,14,6,5,,
1344,0,No,male,27,4,yes,1,16,4,4,,
1352,0,No,female,37,15,yes,5,14,1,3,,
1358,0,No,male,42,4,yes,4,18,5,5,,
1359,0,No,female,32,4,yes,2,14,1,5,,
1361,0,No,male,52,15,yes,2,14,7,4,,
1364,0,No,female,22,1.5,no,2,16,1,4,,
1368,0,No,male,52,15,yes,4,12,2,4,,
1384,0,No,female,22,0.417,no,3,17,1,5,,
1390,0,No,female,22,1.5,no,2,16,5,5,,
1393,0,No,male,27,4,yes,4,20,6,4,,
1394,0,No,female,32,15,yes,4,14,1,5,,
1402,0,No,female,27,1.5,no,2,16,3,5,,
1407,0,No,male,32,4,no,1,20,6,5,,
1408,0,No,male,37,15,yes,3,20,6,4,,
1412,0,No,female,32,10,no,2,16,6,5,,
1413,0,No,female,32,10,yes,5,14,5,5,,
1416,0,No,male,37,1.5,yes,4,18,5,3,,
1417,0,No,male,32,1.5,no,2,18,4,4,,
1418,0,No,female,32,10,yes,4,14,1,4,,
1419,0,No,female,47,15,yes,4,18,5,4,,
1420,0,No,female,27,10,yes,5,12,1,5,,
1423,0,No,male,27,4,yes,3,16,4,5,,
1424,0,No,female,37,15,yes,4,12,4,2,,
1432,0,No,female,27,0.75,no,4,16,5,5,,
1433,0,No,female,37,15,yes,4,16,1,5,,
1437,0,No,female,32,15,yes,3,16,1,5,,
1438,0,No,female,27,10,yes,2,16,1,5,,
1439,0,No,male,27,7,no,2,20,6,5,,
1446,0,No,female,37,15,yes,2,14,1,3,,
1450,0,No,male,27,1.5,yes,2,17,4,4,,
1451,0,No,female,22,0.75,yes,2,14,1,5,,
1452,0,No,male,22,4,yes,4,14,2,4,,
1453,0,No,male,42,0.125,no,4,17,6,4,,
1456,0,No,male,27,1.5,yes,4,18,6,5,,
1464,0,No,male,27,7,yes,3,16,6,3,,
1469,0,No,female,52,15,yes,4,14,1,3,,
1473,0,No,male,27,1.5,no,5,20,5,2,,
1481,0,No,female,27,1.5,no,2,16,5,5,,
1482,0,No,female,27,1.5,no,3,17,5,5,,
1496,0,No,male,22,0.125,no,5,16,4,4,,
1497,0,No,female,27,4,yes,4,16,1,5,,
1504,0,No,female,27,4,yes,4,12,1,5,,
1513,0,No,female,47,15,yes,2,14,5,5,,
1515,0,No,female,32,15,yes,3,14,5,3,,
1534,0,No,male,42,7,yes,2,16,5,5,,
1535,0,No,male,22,0.75,no,4,16,6,4,,
1536,0,No,male,27,0.125,no,3,20,6,5,,
1540,0,No,male,32,10,yes,3,20,6,5,,
1551,0,No,female,22,0.417,no,5,14,4,5,,
1555,0,No,female,47,15,yes,5,14,1,4,,
1557,0,No,female,32,10,yes,3,14,1,5,,
1566,0,No,male,57,15,yes,4,17,5,5,,
1567,0,No,male,27,4,yes,3,20,6,5,,
1576,0,No,female,32,7,yes,4,17,1,5,,
1584,0,No,female,37,10,yes,4,16,1,5,,
1585,0,No,female,32,10,yes,1,18,1,4,,
1590,0,No,female,22,4,no,3,14,1,4,,
1594,0,No,female,27,7,yes,4,14,3,2,,
1595,0,No,male,57,15,yes,5,18,5,2,,
1603,0,No,male,32,7,yes,2,18,5,5,,
1608,0,No,female,27,1.5,no,4,17,1,3,,
1609,0,No,male,22,1.5,no,4,14,5,5,,
1615,0,No,female,22,1.5,yes,4,14,5,4,,
1616,0,No,female,32,7,yes,3,16,1,5,,
1617,0,No,female,47,15,yes,3,16,5,4,,
1620,0,No,female,22,0.75,no,3,16,1,5,,
1621,0,No,female,22,1.5,yes,2,14,5,5,,
1637,0,No,female,27,4,yes,1,16,5,5,,
1638,0,No,male,52,15,yes,4,16,5,5,,
1650,0,No,male,32,10,yes,4,20,6,5,,
1654,0,No,male,47,15,yes,4,16,6,4,,
1665,0,No,female,27,7,yes,2,14,1,2,,
1670,0,No,female,22,1.5,no,4,14,4,5,,
1671,0,No,female,32,10,yes,2,16,5,4,,
1675,0,No,female,22,0.75,no,2,16,5,4,,
1688,0,No,female,22,1.5,no,2,16,5,5,,
1691,0,No,female,42,15,yes,3,18,6,4,,
1695,0,No,female,27,7,yes,5,14,4,5,,
1698,0,No,male,42,15,yes,4,16,4,4,,
1704,0,No,female,57,15,yes,3,18,5,2,,
1705,0,No,male,42,15,yes,3,18,6,2,,
1711,0,No,female,32,7,yes,2,14,1,2,,
1719,0,No,male,22,4,no,5,12,4,5,,
1723,0,No,female,22,1.5,no,1,16,6,5,,
1726,0,No,female,22,0.75,no,1,14,4,5,,
1749,0,No,female,32,15,yes,4,12,1,5,,
1752,0,No,male,22,1.5,no,2,18,5,3,,
1754,0,No,male,27,4,yes,5,17,2,5,,
1758,0,No,female,27,4,yes,4,12,1,5,,
1761,0,No,male,42,15,yes,5,18,5,4,,
1773,0,No,male,32,1.5,no,2,20,7,3,,
1775,0,No,male,57,15,no,4,9,3,1,,
1786,0,No,male,37,7,no,4,18,5,5,,
1793,0,No,male,52,15,yes,2,17,5,4,,
1799,0,No,male,47,15,yes,4,17,6,5,,
1803,0,No,female,27,7,no,2,17,5,4,,
1806,0,No,female,27,7,yes,4,14,5,5,,
1807,0,No,female,22,4,no,2,14,3,3,,
1808,0,No,male,37,7,yes,2,20,6,5,,
1814,0,No,male,27,7,no,4,12,4,3,,
1815,0,No,male,42,10,yes,4,18,6,4,,
1818,0,No,female,22,1.5,no,3,14,1,5,,
1827,0,No,female,22,4,yes,2,14,1,3,,
1834,0,No,female,57,15,no,4,20,6,5,,
1835,0,No,male,37,15,yes,4,14,4,3,,
1843,0,No,female,27,7,yes,3,18,5,5,,
1846,0,No,female,17.5,10,no,4,14,4,5,,
1850,0,No,male,22,4,yes,4,16,5,5,,
1851,0,No,female,27,4,yes,2,16,1,4,,
1854,0,No,female,37,15,yes,2,14,5,1,,
1859,0,No,female,22,1.5,no,5,14,1,4,,
1861,0,No,male,27,7,yes,2,20,5,4,,
1866,0,No,male,27,4,yes,4,14,5,5,,
1873,0,No,male,22,0.125,no,1,16,3,5,,
1875,0,No,female,27,7,yes,4,14,1,4,,
1885,0,No,female,32,15,yes,5,16,5,3,,
1892,0,No,male,32,10,yes,4,18,5,4,,
1895,0,No,female,32,15,yes,2,14,3,4,,
1896,0,No,female,22,1.5,no,3,17,5,5,,
1897,0,No,male,27,4,yes,4,17,4,4,,
1899,0,No,female,52,15,yes,5,14,1,5,,
1904,0,No,female,27,7,yes,2,12,1,2,,
1905,0,No,female,27,7,yes,3,12,1,4,,
1908,0,No,female,42,15,yes,2,14,1,4,,
1916,0,No,female,42,15,yes,4,14,5,4,,
1918,0,No,male,27,7,yes,4,14,3,3,,
1920,0,No,male,27,7,yes,2,20,6,2,,
1930,0,No,female,42,15,yes,3,12,3,3,,
1940,0,No,male,27,4,yes,3,16,3,5,,
1947,0,No,female,27,7,yes,3,14,1,4,,
1949,0,No,female,22,1.5,no,2,14,4,5,,
1951,0,No,female,27,4,yes,4,14,1,4,,
1952,0,No,female,22,4,no,4,14,5,5,,
1960,0,No,female,22,1.5,no,2,16,4,5,,
9001,0,No,male,47,15,no,4,14,5,4,,
9012,0,No,male,37,10,yes,2,18,6,2,,
9023,0,No,male,37,15,yes,3,17,5,4,,
9029,0,No,female,27,4,yes,2,16,1,4,,
6,3,Yes,male,27,1.5,no,3,18,4,4,,
12,3,Yes,female,27,4,yes,3,17,1,5,,
43,7,Yes,male,37,15,yes,5,18,6,2,,
53,12,Yes,female,32,10,yes,3,17,5,2,,
67,1,Yes,male,22,0.125,no,4,16,5,5,,
79,1,Yes,female,22,1.5,yes,2,14,1,5,,
122,12,Yes,male,37,15,yes,4,14,5,2,,
126,7,Yes,female,22,1.5,no,2,14,3,4,,
133,2,Yes,male,37,15,yes,2,18,6,4,,
138,3,Yes,female,32,15,yes,4,12,3,2,,
154,1,Yes,female,37,15,yes,4,14,4,2,,
159,7,Yes,female,42,15,yes,3,17,1,4,,
174,12,Yes,female,42,15,yes,5,9,4,1,,
176,12,Yes,male,37,10,yes,2,20,6,2,,
181,12,Yes,female,32,15,yes,3,14,1,2,,
182,3,Yes,male,27,4,no,1,18,6,5,,
186,7,Yes,male,37,10,yes,2,18,7,3,,
189,7,Yes,female,27,4,no,3,17,5,5,,
204,1,Yes,male,42,15,yes,4,16,5,5,,
215,1,Yes,female,47,15,yes,5,14,4,5,,
232,7,Yes,female,27,4,yes,3,18,5,4,,
233,1,Yes,female,27,7,yes,5,14,1,4,,
252,12,Yes,male,27,1.5,yes,3,17,5,4,,
253,12,Yes,female,27,7,yes,4,14,6,2,,
274,3,Yes,female,42,15,yes,4,16,5,4,,
275,7,Yes,female,27,10,yes,4,12,7,3,,
287,1,Yes,male,27,1.5,no,2,18,5,2,,
288,1,Yes,male,32,4,no,4,20,6,4,,
325,1,Yes,female,27,7,yes,3,14,1,3,,
328,3,Yes,female,32,10,yes,4,14,1,4,,
344,3,Yes,male,27,4,yes,2,18,7,2,,
353,1,Yes,female,17.5,0.75,no,5,14,4,5,,
354,1,Yes,female,32,10,yes,4,18,1,5,,
367,7,Yes,female,32,7,yes,2,17,6,4,,
369,7,Yes,male,37,15,yes,2,20,6,4,,
390,7,Yes,female,37,10,no,1,20,5,3,,
392,12,Yes,female,32,10,yes,2,16,5,5,,
423,7,Yes,male,52,15,yes,2,20,6,4,,
432,7,Yes,female,42,15,yes,1,12,1,3,,
436,1,Yes,male,52,15,yes,2,20,6,3,,
483,2,Yes,male,37,15,yes,3,18,6,5,,
513,12,Yes,female,22,4,no,3,12,3,4,,
516,12,Yes,male,27,7,yes,1,18,6,2,,
518,1,Yes,male,27,4,yes,3,18,5,5,,
520,12,Yes,male,47,15,yes,4,17,6,5,,
526,12,Yes,female,42,15,yes,4,12,1,1,,
528,7,Yes,male,27,4,no,3,14,3,4,,
553,7,Yes,female,32,7,yes,4,18,4,5,,
576,1,Yes,male,32,0.417,yes,3,12,3,4,,
611,3,Yes,male,47,15,yes,5,16,5,4,,
625,12,Yes,male,37,15,yes,2,20,5,4,,
635,7,Yes,male,22,4,yes,2,17,6,4,,
646,1,Yes,male,27,4,no,2,14,4,5,,
657,7,Yes,female,52,15,yes,5,16,1,3,,
659,1,Yes,male,27,4,no,3,14,3,3,,
666,1,Yes,female,27,10,yes,4,16,1,4,,
679,1,Yes,male,32,7,yes,3,14,7,4,,
729,7,Yes,male,32,7,yes,2,18,4,1,,
755,3,Yes,male,22,1.5,no,1,14,3,2,,
